07-31-2026 16:03:15 RAM 6123/7485MB (lfb 1x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.375C/52.5C soc2@52.156C/52.875C soc0@50.125C/50.968C gpu@51.781C/52.843C tj@52.406C/53.031C soc1@52.406C/52.937C VDD_IN 4560mW/5161mW/6734mW VDD_CPU_GPU_CV 678mW/1017mW/1858mW VDD_SOC 1317mW/1409mW/1661mW
07-31-2026 16:03:16 RAM 6124/7485MB (lfb 1x4MB) CPU [2%@729,2%@729,5%@729,4%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.281C/52.5C soc2@52.093C/52.875C soc0@50.156C/50.968C gpu@51.968C/52.843C tj@52.187C/53.031C soc1@52.187C/52.937C VDD_IN 4592mW/5136mW/6734mW VDD_CPU_GPU_CV 717mW/1004mW/1858mW VDD_SOC 1315mW/1405mW/1661mW
07-31-2026 16:03:17 RAM 6124/7485MB (lfb 1x4MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.218C/52.5C soc2@52C/52.875C soc0@50.062C/50.968C gpu@52.156C/52.843C tj@52.343C/53.031C soc1@52.343C/52.937C VDD_IN 4602mW/5114mW/6734mW VDD_CPU_GPU_CV 674mW/990mW/1858mW VDD_SOC 1388mW/1404mW/1661mW
07-31-2026 16:03:18 RAM 6124/7485MB (lfb 1x4MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.187C/52.5C soc2@52C/52.875C soc0@50.125C/50.968C gpu@52.156C/52.843C tj@52.125C/53.031C soc1@52.125C/52.937C VDD_IN 4602mW/5093mW/6734mW VDD_CPU_GPU_CV 673mW/977mW/1858mW VDD_SOC 1388mW/1404mW/1661mW
07-31-2026 16:03:19 RAM 6125/7485MB (lfb 1x4MB) CPU [2%@729,3%@729,3%@729,2%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.25C/52.5C soc2@52C/52.875C soc0@50.093C/50.968C gpu@51.781C/52.843C tj@52.093C/53.031C soc1@52.093C/52.937C VDD_IN 4642mW/5076mW/6734mW VDD_CPU_GPU_CV 713mW/967mW/1858mW VDD_SOC 1388mW/1403mW/1661mW
07-31-2026 16:03:20 RAM 6125/7485MB (lfb 1x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.406C/52.5C soc2@52.031C/52.875C soc0@50.187C/50.968C gpu@51.906C/52.843C tj@52.156C/53.031C soc1@52.156C/52.937C VDD_IN 4602mW/5058mW/6734mW VDD_CPU_GPU_CV 673mW/956mW/1858mW VDD_SOC 1388mW/1402mW/1661mW
07-31-2026 16:03:21 RAM 6125/7485MB (lfb 1x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.093C/52.5C soc2@51.937C/52.875C soc0@50.062C/50.968C gpu@51.656C/52.843C tj@52.062C/53.031C soc1@52.062C/52.937C VDD_IN 4602mW/5042mW/6734mW VDD_CPU_GPU_CV 673mW/946mW/1858mW VDD_SOC 1388mW/1402mW/1661mW
07-31-2026 16:03:22 RAM 6125/7485MB (lfb 1x4MB) CPU [3%@729,1%@729,3%@729,5%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.218C/52.5C soc2@51.906C/52.875C soc0@50C/50.968C gpu@51.687C/52.843C tj@52.125C/53.031C soc1@52.125C/52.937C VDD_IN 4642mW/5028mW/6734mW VDD_CPU_GPU_CV 713mW/938mW/1858mW VDD_SOC 1388mW/1401mW/1661mW
07-31-2026 16:03:23 RAM 6125/7485MB (lfb 1x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.125C/52.5C soc2@51.937C/52.875C soc0@49.968C/50.968C gpu@51.937C/52.843C tj@52C/53.031C soc1@52.125C/52.937C VDD_IN 4602mW/5014mW/6734mW VDD_CPU_GPU_CV 673mW/929mW/1858mW VDD_SOC 1388mW/1401mW/1661mW
07-31-2026 16:03:24 RAM 6125/7485MB (lfb 1x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51C/52.5C soc2@51.875C/52.875C soc0@49.937C/50.968C gpu@51.906C/52.843C tj@52.031C/53.031C soc1@52.031C/52.937C VDD_IN 4602mW/5001mW/6734mW VDD_CPU_GPU_CV 673mW/921mW/1858mW VDD_SOC 1388mW/1401mW/1661mW
